"ATTACK ?
DEFENSE ?",PKMN,NOR,FIR,WAT,ELE,GRA,ICE,FIG,POI,GRO,FLY,PSY,BUG,ROC,GHO,DRA,DAR,STE,FAI
NORMAL,66,,,,,,,2,,,,,,,0,,,,
NORMALFIRE,2,,0.5,2,,0.5,0.5,2,,2,,,0.5,2,0,,,0.5,0.5
NORMALWATER,1,,0.5,0.5,2,2,0.5,2,,,,,,,0,,,0.5,
NORMALELECTRIC,2,,,,0.5,,,2,,2,0.5,,,,0,,,0.5,
NORMALGRASS,2,,2,0.5,0.5,0.5,2,2,2,0.5,2,,2,,0,,,,
NORMALICE,0,,2,,,,0.5,4,,,,,,2,0,,,2,
NORMALFIGHTING,4,,,,,,,2,,,2,2,0.5,0.5,0,,0.5,,2
NORMALPOISON,0,,,,,0.5,,,0.5,2,,2,0.5,,0,,,,0.5
NORMALGROUND,1,,,2,0,2,2,2,0.5,,,,,0.5,0,,,,
NORMALFLYING,27,,,,2,0.5,2,,,0,,,0.5,2,0,,,,
NORMALPSYCHIC,3,,,,,,,,,,,0.5,2,,0,,2,,
NORMALBUG,0,,2,,,0.5,,,,0.5,2,,,2,0,,,,
NORMALROCK,0,0.5,0.5,2,,2,,4,0.5,2,0.5,,,,0,,,2,
NORMALGHOST,0,0,,,,,,0,0.5,,,,0.5,,0,,2,,
NORMALDRAGON,1,,0.5,0.5,0.5,0.5,2,2,,,,,,,0,2,,,2
NORMALDARK,2,,,,,,,4,,,,0,2,,0,,0.5,,2
NORMALSTEEL,0,0.5,2,,,0.5,0.5,4,0,2,0.5,0.5,0.5,0.5,0,0.5,,0.5,0.5
NORMALFAIRY,5,,,,,,,,2,,,,0.5,,0,0,0.5,2,
FIRE,30,,0.5,2,,0.5,0.5,,,2,,,0.5,2,,,,0.5,0.5
FIRENORMAL,2,,0.5,2,,0.5,0.5,2,,2,,,0.5,2,0,,,0.5,0.5
FIREWATER,1,,0.25,,2,,0.25,,,2,,,0.5,2,,,,0.25,0.5
FIREELECTRIC,1,,0.5,2,0.5,0.5,0.5,,,4,0.5,,0.5,2,,,,0.25,0.5
FIREGRASS,0,,,,0.5,0.25,,,2,,2,,,2,,,,0.5,0.5
FIREICE,0,,,2,,0.5,0.25,2,,2,,,0.5,4,,,,,0.5
FIREFIGHTING,7,,0.5,2,,0.5,0.5,,,2,2,2,0.25,,,,0.5,0.5,
FIREPOISON,2,,0.5,2,,0.25,0.5,0.5,0.5,4,,2,0.25,2,,,,0.5,0.25
FIREGROUND,4,,0.5,4,0,,,,0.5,2,,,0.5,,,,,0.5,0.5
FIREFLYING,7,,0.5,2,2,0.25,,0.5,,0,,,0.25,4,,,,0.5,0.5
FIREPSYCHIC,3,,0.5,2,,0.5,0.5,0.5,,2,,0.5,,2,2,,2,0.5,0.5
FIREBUG,2,,,2,,0.25,0.5,0.5,,,2,,0.5,4,,,,0.5,0.5
FIREROCK,1,0.5,0.25,4,,,0.5,2,0.5,4,0.5,,0.5,2,,,,,0.5
FIREGHOST,5,0,0.5,2,,0.5,0.5,0,0.5,2,,,0.25,2,2,,2,0.5,0.5
FIREDRAGON,3,,0.25,,0.5,0.25,,,,2,,,0.5,2,,2,,0.5,
FIREDARK,4,,0.5,2,,0.5,0.5,2,,2,,0,,2,0.5,,0.5,0.5,
FIRESTEEL,1,0.5,,2,,0.25,0.25,2,0,4,0.5,0.5,0.25,,,0.5,,0.25,0.25
FIREFAIRY,0,,0.5,2,,0.5,0.5,0.5,2,2,,,0.25,2,,0,0.5,,0.5
WATER,65,,0.5,0.5,2,2,0.5,,,,,,,,,,,0.5,
WATERNORMAL,1,,0.5,0.5,2,2,0.5,2,,,,,,,0,,,0.5,
WATERFIRE,1,,0.25,,2,,0.25,,,2,,,0.5,2,,,,0.25,0.5
WATERELECTRIC,3,,0.5,0.5,,2,0.5,,,2,0.5,,,,,,,0.25,
WATERGRASS,3,,,0.25,,,,,2,0.5,2,,2,,,,,0.5,
WATERICE,6,,,0.5,2,2,0.25,2,,,,,,2,,,,,
WATERFIGHTING,3,,0.5,0.5,2,2,0.5,,,,2,2,0.5,0.5,,,0.5,0.5,2
WATERPOISON,6,,0.5,0.5,2,,0.5,0.5,0.5,2,,2,0.5,,,,,0.5,0.5
WATERGROUND,10,,0.5,,0,4,,,0.5,,,,,0.5,,,,0.5,
WATERFLYING,7,,0.5,0.5,4,,,0.5,,0,,,0.5,2,,,,0.5,
WATERPSYCHIC,6,,0.5,0.5,2,2,0.5,0.5,,,,0.5,2,,2,,2,0.5,
WATERBUG,5,,,0.5,2,,0.5,0.5,,0.5,2,,,2,,,,0.5,
WATERROCK,10,0.5,0.25,,2,4,0.5,2,0.5,2,0.5,,,,,,,,
WATERGHOST,2,0,0.5,0.5,2,2,0.5,0,0.5,,,,0.5,,2,,2,0.5,
